<frozen runpy>:128: RuntimeWarning: 'core.data_parser.main' found in sys.modules after import of package 'core.data_parser', but prior to execution of 'core.data_parser.main'; this may result in unpredictable behaviour
                 '2.2*1.8*0.45',
                 None,
                 '2.2*1.8*0.46',
                 None,
                 '2.2*1.8*0.54',
                 '2.2*1.8*0.49',
                 None,
                 '2.2*1.8*0.42',
                 '2.2*1.8*0.7',
                 '2.2*1.8*0.65',
                 None,
                 '2.2*1.8*0.76',
                 '2.2*1.8*0.27',
                 None,
                 '2.2*1.8*0.38',
                 '2.2*1.8*0.42',
                 None,
                 '2.2*1.8*0.67',
                 '2.2*1.8*0.6',
                 None,
                 '2.2*1.8*0.49',
                 None,
                 '2.2*1.8*0.6',
                 '2.2*1.8*0.6',
                 '2.2*1.8*0.6',
                 '2.2*1.8*0.4',
                 None,
                 None,
                 '2.2*1.8*0.47',
                 None,
                 '2.2*1.8*0.7',
                 '2.2*1.8*0.69',
                 None,
                 '2.2*1.8*0.65',
                 '2.2*1.8*0.63',
                 None,
                 '2.2*1.8*0.4',
                 None,
                 '2.2*1.8*0.37',
                 None,
                 None],
     'col_dc': ['CLF-251002',
                'CLF-251002',
                'CLF-250816',
                'CLF-250816',
                'CLF-250221',
                'CLF-250221',
                'CLF-251022',
                'CLF-251022',
                'CLF-251022',
                'CLF-250219',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
              
... (output truncated)
2025-12-02 12:48:12,365 - INFO - main.py:527 - --- Starting Data Processing Loop for 1 Extracted Table(s) ---
2025-12-02 12:48:12,365 - INFO - main.py:534 - --- Processing Table Index 1 ---
2025-12-02 12:48:12,365 - INFO - main.py:541 - Table 1: Calculating CBM values...
2025-12-02 12:48:12,365 - INFO - data_processor.py:306 - [process_cbm_column] Processing 'col_cbm' column for volume calculations (List length: 43)...
2025-12-02 12:48:12,365 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.63'. for CBM at row index 0
2025-12-02 12:48:12,365 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.4948 from '2.2*1.8*0.63' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.63')]). for CBM at row index 0
2025-12-02 12:48:12,365 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 1
2025-12-02 12:48:12,365 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.45'. for CBM at row index 2
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.7820 from '2.2*1.8*0.45' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.45')]). for CBM at row index 2
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 3
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.46'. for CBM at row index 4
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.8216 from '2.2*1.8*0.46' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.46')]). for CBM at row index 4
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 5
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.54'. for CBM at row index 6
2025-12-02 12:48:12,366 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.1384 from '2.2*1.8*0.54' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.54')]). for CBM at row index 6
